,satisfaccion,desempeño,numero proyectos,promedio horas mes,tiempo en empresa,accidente laboral,retiro,Ascenso,Departamento,salario
0,0.38,0.53,2,157,3,0,1,0,ventas,bajo
1,0.8,0.86,5,262,6,0,1,0,ventas,medio
2,0.11,0.88,7,272,4,0,1,0,ventas,medio
3,0.72,0.87,5,223,5,0,1,0,ventas,bajo
4,0.37,0.52,2,159,3,0,1,0,ventas,bajo
5,0.41,0.5,2,153,3,0,1,0,ventas,bajo
6,0.1,0.77,6,247,4,0,1,0,ventas,bajo
7,0.92,0.85,5,259,5,0,1,0,ventas,bajo
8,0.89,1.0,5,224,5,0,1,0,ventas,bajo
9,0.42,0.53,2,142,3,0,1,0,ventas,bajo
10,0.45,0.54,2,135,3,0,1,0,ventas,bajo
11,0.11,0.81,6,305,4,0,1,0,ventas,bajo
12,0.84,0.92,4,234,5,0,1,0,ventas,bajo
13,0.41,0.55,2,148,3,0,1,0,ventas,bajo
14,0.36,0.56,2,137,3,0,1,0,ventas,bajo
15,0.38,0.54,2,143,3,0,1,0,ventas,bajo
16,0.45,0.47,2,160,3,0,1,0,ventas,bajo
17,0.78,0.99,4,255,6,0,1,0,ventas,bajo
18,0.45,0.51,2,160,3,1,1,1,ventas,bajo
19,0.76,0.89,5,262,5,0,1,0,ventas,bajo
20,0.11,0.83,6,282,4,0,1,0,ventas,bajo
21,0.38,0.55,2,147,3,0,1,0,ventas,bajo
22,0.09,0.95,6,304,4,0,1,0,ventas,bajo
23,0.46,0.57,2,139,3,0,1,0,ventas,bajo
24,0.4,0.53,2,158,3,0,1,0,ventas,bajo
25,0.89,0.92,5,242,5,0,1,0,ventas,bajo
26,0.82,0.87,4,239,5,0,1,0,ventas,bajo
27,0.4,0.49,2,135,3,0,1,0,ventas,bajo
28,0.41,0.46,2,128,3,0,1,0,finanzas,bajo
29,0.38,0.5,2,132,3,0,1,0,finanzas,bajo
30,0.09,0.62,6,294,4,0,1,0,finanzas,bajo
31,0.45,0.57,2,134,3,0,1,0,rr.hh.,bajo
32,0.4,0.51,2,145,3,0,1,0,rr.hh.,bajo
33,0.45,0.55,2,140,3,0,1,0,rr.hh.,bajo
34,0.84,0.87,4,246,6,0,1,0,rr.hh.,bajo
35,0.1,0.94,6,255,4,0,1,0,,bajo
36,0.38,0.46,2,137,3,0,1,0,,bajo
37,0.45,0.5,2,126,3,0,1,0,,bajo
38,0.11,0.89,6,306,4,0,1,0,,bajo
39,0.41,0.54,2,152,3,0,1,0,,bajo
40,0.87,0.88,5,269,5,0,1,0,,bajo
41,0.45,0.48,2,158,3,0,1,0,,bajo
42,0.4,0.46,2,127,3,0,1,0,,bajo
43,0.1,0.8,7,281,4,0,1,0,,bajo
44,0.09,0.89,6,276,4,0,1,0,,bajo
45,0.84,0.74,3,182,4,0,1,0,,bajo
46,0.4,0.55,2,147,3,0,1,0,mantenimiento,bajo
47,0.57,0.7,3,273,6,0,1,0,mantenimiento,bajo
48,0.4,0.54,2,148,3,0,1,0,mantenimiento,bajo
49,0.43,0.47,2,147,3,0,1,0,mantenimiento,bajo
50,0.13,0.78,6,152,2,0,1,0,mantenimiento,bajo
51,0.44,0.55,2,135,3,0,1,0,mantenimiento,bajo
52,0.38,0.55,2,134,3,0,1,0,mantenimiento,bajo
53,0.39,0.54,2,132,3,0,1,0,mantenimiento,bajo
54,0.1,0.92,7,307,4,0,1,0,mantenimiento,bajo
55,0.37,0.46,2,140,3,0,1,0,mantenimiento,bajo
56,0.11,0.94,7,255,4,0,1,0,mantenimiento,bajo
57,0.1,0.81,6,309,4,0,1,0,,bajo
58,0.38,0.54,2,128,3,0,1,0,,bajo
59,0.85,1.0,4,225,5,0,1,0,,bajo
60,0.85,0.91,5,226,5,0,1,0,gerencia y admon,medio
61,0.11,0.93,7,308,4,0,1,0,sistemas,medio
62,0.1,0.95,6,244,5,0,1,0,sistemas,medio
63,0.36,0.56,2,132,3,0,1,0,sistemas,medio
64,0.11,0.94,6,286,4,0,1,0,sistemas,medio
65,0.81,0.7,6,161,4,0,1,0,sistemas,medio
66,0.43,0.54,2,153,3,0,1,0,calidad,medio
67,0.9,0.98,4,264,6,0,1,0,calidad,medio
68,0.76,0.86,5,223,5,1,1,0,calidad,medio
69,0.43,0.5,2,135,3,0,1,0,calidad,medio
70,0.74,0.99,2,277,3,0,1,0,sistemas,medio
71,0.09,0.77,5,275,4,0,1,0,calidad,medio
72,0.45,0.49,2,149,3,0,1,0,calidad,alto
73,0.09,0.87,7,295,4,0,1,0,calidad,bajo
74,0.11,0.97,6,277,4,0,1,0,calidad,medio
75,0.11,0.79,7,306,4,0,1,0,calidad,medio
76,0.1,0.83,6,295,4,0,1,0,calidad,medio
77,0.4,0.54,2,137,3,0,1,0,publicidad,medio
78,0.43,0.56,2,157,3,0,1,0,ventas,bajo
79,0.39,0.56,2,142,3,0,1,0,finanzas,bajo
80,0.45,0.54,2,140,3,0,1,0,mantenimiento,bajo
